student_id,week,avg_submission_delay,quiz_score,attendance_pct,study_sessions,deadline_load,burnout_risk
1,1,0.58,73.48,89.53,4,1,0
1,2,0.34,70.41,85.54,4,1,0
1,3,0.0,71.85,90.52,5,3,0
1,4,0.45,70.01,91.17,4,3,0
1,5,0.63,72.77,90.4,4,2,0
1,6,0.49,67.04,94.12,4,2,0
1,7,0.32,76.85,91.24,6,3,0
1,8,0.18,68.52,92.44,5,2,0
1,9,1.33,74.22,91.93,6,2,0
1,10,0.76,65.4,86.53,5,3,0
1,11,0.36,73.67,92.31,4,1,0
1,12,0.0,71.77,93.94,6,3,0
2,1,1.05,78.66,86.02,1,3,1
2,2,1.64,64.49,89.5,3,1,1
2,3,2.08,71.16,88.05,3,3,1
2,4,2.39,67.69,86.77,1,3,1
2,5,2.28,68.47,84.96,2,1,1
2,6,1.6,66.49,76.43,3,1,1
2,7,2.23,65.86,87.88,2,2,1
2,8,2.83,74.42,83.58,1,3,1
2,9,2.75,69.07,75.36,2,3,1
2,10,2.59,58.89,79.4,3,2,1
2,11,3.33,64.33,81.98,1,1,1
2,12,2.49,64.29,80.17,2,3,1
3,1,0.53,67.91,84.05,4,1,0
3,2,0.5,75.37,89.23,4,2,0
3,3,0.84,72.65,88.4,4,2,0
3,4,0.23,71.98,92.6,4,1,0
3,5,0.2,67.37,86.33,6,3,0
3,6,0.35,73.19,87.85,6,1,0
3,7,0.22,75.84,83.68,6,3,0
3,8,0.4,68.21,87.7,5,1,0
3,9,0.0,70.11,89.03,6,1,0
3,10,0.55,73.5,82.84,6,2,0
3,11,0.69,74.51,86.71,6,2,0
3,12,0.75,65.7,82.75,5,2,0
4,1,0.36,70.53,91.07,4,3,0
4,2,0.79,69.5,86.15,5,2,0
4,3,0.48,76.34,89.3,5,1,0
4,4,0.75,85.91,88.75,4,1,0
4,5,0.5,68.69,92.91,4,2,0
4,6,0.62,74.48,90.69,4,3,0
4,7,0.25,68.92,87.13,5,1,0
4,8,0.76,79.36,87.46,6,2,0
4,9,0.57,71.74,91.64,4,1,0
4,10,0.52,76.65,86.28,6,1,0
4,11,0.3,68.21,90.44,5,3,0
4,12,0.07,80.73,88.49,4,2,0
5,1,1.34,71.44,90.01,1,2,1
5,2,1.83,62.88,93.62,2,2,1
5,3,1.76,76.47,91.56,1,1,1
5,4,1.67,76.28,89.88,2,3,1
5,5,1.94,71.54,83.5,2,3,1
5,6,1.6,64.96,86.54,2,3,1
5,7,3.26,64.44,81.09,2,1,1
5,8,2.56,60.72,92.83,1,3,1
5,9,2.53,75.84,81.72,2,1,1
5,10,3.09,62.02,85.72,3,1,1
5,11,3.43,67.62,84.03,1,3,1
5,12,2.46,62.2,88.46,2,2,1
6,1,2.04,97.86,91.46,2,3,1
6,2,2.17,86.26,99.69,3,3,1
6,3,1.89,91.48,89.94,1,2,1
6,4,1.85,92.16,85.61,2,2,1
6,5,2.01,91.18,89.12,1,3,1
6,6,2.12,87.95,89.64,1,1,1
6,7,2.22,82.53,89.87,1,3,1
6,8,2.94,75.6,79.43,3,3,1
6,9,3.47,81.54,82.9,1,1,1
6,10,3.1,89.46,84.44,2,1,1
6,11,3.05,86.41,82.38,2,3,1
6,12,3.05,81.82,86.11,3,1,1
7,1,0.4,81.61,99.55,6,2,0
7,2,1.0,80.98,98.82,5,3,0
7,3,0.07,79.08,100.0,5,1,0
7,4,0.43,74.29,98.81,4,1,0
7,5,0.4,82.45,99.13,5,3,0
7,6,0.75,71.26,97.52,6,3,0
7,7,0.26,75.93,93.81,5,2,0
7,8,0.37,81.91,96.09,4,3,0
7,9,0.65,80.97,94.24,4,2,0
7,10,0.25,86.05,97.71,4,1,0
7,11,0.57,80.67,98.87,4,2,0
7,12,0.27,78.73,96.9,6,3,0
8,1,1.8,70.76,91.13,1,2,1
8,2,1.71,68.13,88.13,2,2,1
8,3,1.63,61.42,92.69,3,1,1
8,4,1.44,64.09,85.7,1,1,1
8,5,2.2,69.76,97.0,2,2,1
8,6,2.46,65.35,91.09,1,2,1
8,7,1.86,71.68,91.33,3,3,1
8,8,3.2,63.57,91.03,2,1,1
8,9,3.51,64.44,91.54,1,1,1
8,10,3.32,59.29,96.88,1,2,1
8,11,2.89,57.82,85.14,1,1,1
8,12,3.03,43.52,87.56,3,3,1
9,1,0.92,70.62,100.0,6,2,0
9,2,0.66,73.0,100.0,5,2,0
9,3,0.75,80.39,100.0,4,2,0
9,4,0.36,75.65,99.85,5,3,0
9,5,1.07,73.09,99.57,4,2,0
9,6,0.93,72.7,98.71,5,1,0
9,7,0.61,66.7,100.0,6,3,0
9,8,0.0,65.13,100.0,4,3,0
9,9,0.51,76.48,100.0,6,3,0
9,10,0.61,70.17,100.0,5,1,0
9,11,0.52,70.23,93.72,5,2,0
9,12,0.65,70.69,97.7,6,1,0
10,1,0.13,84.99,89.75,6,3,0
10,2,0.51,84.68,89.38,6,2,0
